Date,Facebook Ad Campaign,Instagram Ad Campaign,Facebook Ad Views,Instagram Ad Views,Facebook Click-through Rate,Instagram Click-through Rate,Facebook Ad Clicks,Instagram Ad Clicks,Facebook Conversion Rate,Instagram Conversion Rate,Facebook Ad Conversion,Instagram Ad Conversion,Cost Per Facebook Ad,Cost Per Instagram Ad,Facebook Cost Per Click,Instagram Cost Per Click
2024-01-01,FB_C,IG_Z,24811.0,15101.0,0.023770812114985024,0.024639430094716912,589.0,372.0,0.041806054576491676,0.038199169313036435,24.0,14.0,437.4439786891784,283.80688934060714,0.7426892677235626,0.7629217455392665
2024-01-02,FB_A,IG_Z,9780.0,11950.0,0.06344920996050057,0.027306738678789723,620.0,326.0,0.11751599548571648,0.059679815645046895,72.0,19.0,766.9357824875959,297.3539664202421,1.2369931975606385,0.9121287313504359
2024-01-03,FB_C,IG_Z,23311.0,13122.0,0.03954013908877887,0.01827364829521362,921.0,239.0,0.07375973887768099,0.03209116413075039,67.0,7.0,860.424616155395,139.3885052466538,0.9342286820362595,0.5832155031240746
2024-01-04,FB_C,IG_Z,16894.0,16576.0,0.022037862017458734,0.019631974400096768,372.0,325.0,0.05049633505957207,0.06410170579502002,18.0,20.0,229.6967461924957,203.58674293212874,0.6174643714852035,0.6264207474834731
2024-01-05,FB_A,IG_X,7356.0,5089.0,0.05016639884454384,0.05017183182269568,369.0,255.0,0.11686850470103666,0.09792785545686672,43.0,24.0,403.9270502049733,274.4570042310144,1.0946532525880035,1.0763019773765272
2024-01-06,FB_A,IG_Z,12727.0,11151.0,0.058671655852652285,0.018557044816421488,746.0,206.0,0.10159690130255004,0.06497592126833324,75.0,13.0,1011.5010987041413,161.4839610069939,1.355899596118152,0.7839027233349218
2024-01-07,FB_C,IG_Y,28197.0,17065.0,0.021852509661027343,0.04262750652096502,616.0,727.0,0.05796314056539503,0.0741011696520207,35.0,53.0,371.85839156529244,782.6090593217023,0.6036662200735267,1.07649114074512
2024-01-08,FB_B,IG_Y,15181.0,14487.0,0.04996768699352463,0.03852796713603245,758.0,558.0,0.09310452322548535,0.08890734297897947,70.0,49.0,667.4642079671066,639.0801040999594,0.8805596411175549,1.1453048460572748
2024-01-09,FB_C,IG_Z,12057.0,4155.0,0.03829097327697118,0.02896290405456044,461.0,120.0,0.06283628215008578,0.04276901191144754,28.0,5.0,453.44405804941493,84.66487183075759,0.9836096703891865,0.7055405985896466
2024-01-10,FB_C,IG_Z,21082.0,5958.0,0.028680419454175175,0.021492943717926594,604.0,128.0,0.053297067686974606,0.0662364668493859,32.0,8.0,510.5978861197566,72.82768057037235,0.8453607386088685,0.568966254456034
2024-01-11,FB_C,IG_Y,5661.0,14693.0,0.025174232843108817,0.03591864058873232,142.0,527.0,0.05262132722652542,0.06506548502073498,7.0,34.0,100.06293362501037,564.1369528946544,0.7046685466550027,1.07046860131813
2024-01-12,FB_C,IG_Y,9644.0,10344.0,0.028688066380132195,0.0432764894970545,276.0,447.0,0.04426494475746391,0.06714079157090395,12.0,30.0,172.9958168213016,443.31327257200604,0.626796437758339,0.9917522876331232
2024-01-13,FB_A,IG_X,26924.0,12712.0,0.06446895635700002,0.064306054472608,1735.0,817.0,0.11467193282585073,0.10972120500635209,198.0,89.0,1754.5647902703722,800.1838062781284,1.011276536178889,0.9794171435472807
2024-01-14,FB_C,IG_Y,10296.0,10179.0,0.020181083231607416,0.031008335472044186,207.0,315.0,0.04397978675491858,0.06327753756152585,9.0,19.0,144.46489259393758,298.5983855342989,0.697898031854771,0.947931382648568
2024-01-15,FB_B,IG_Y,21002.0,13046.0,0.04678907978969394,0.047807686417105325,982.0,623.0,0.10066383778848206,0.06783920738807048,98.0,42.0,1131.847629934524,652.2337131870041,1.1525943278355641,1.0469240982134898
